Strategy,Start,End,Distance Taveled,Elapsed Time,Right Turns,Left Turns,
bfs,-1295.632887:274.182825:315.949628,-1080.000000:270.000000:650.000000,925.200000,30.840000,5,6,
bfs,-1078.793541:274.200000:649.299272,-1333.000000:270.000000:684.000000,845.100000,28.170000,7,1,
dijkstra,430.075798:274.200000:796.191964,-1239.000000:270.000000:-619.000000,3756.848543,125.228285,46,12,
astar,-487.796512:274.200000:373.193733,1465.000000:270.000000:669.000000,3542.119844,118.070661,29,29,
dijkstra,-1235.312635:274.200000:-617.626017,-713.000000:270.000000:-488.000000,862.819844,28.760661,2,8,
bfs,-1329.912072:274.200000:681.652768,319.000000:270.000000:196.000000,2842.219844,94.740661,7,20,
astar,1461.724682:274.200000:666.793583,1490.000000:270.000000:-747.000000,2296.079015,76.535967,17,18,
bfs,317.850454:274.200000:192.336561,296.000000:270.000000:-702.000000,1959.179015,65.305967,16,18,
dijkstra,-712.462178:274.200000:-491.754873,704.000000:270.000000:690.000000,2575.979015,85.865967,14,29,
bfs,298.377583:274.200000:-705.198021,-696.000000:270.000000:745.000000,3286.596623,109.553221,21,17,
astar,1487.908773:274.200000:-743.784507,-1349.000000:270.000000:-481.000000,3735.096623,124.503221,29,0,
dijkstra,705.716718:274.200000:693.514151,-212.000000:270.000000:611.000000,3377.796623,112.593221,45,37,
dijkstra,-208.480058:274.200000:612.239439,-202.000000:270.000000:435.000000,1223.700000,40.790000,3,11,
astar,-1345.614769:274.200000:-479.436813,-1386.000000:270.000000:589.000000,1835.700000,61.190000,19,9,
bfs,-697.072865:274.200000:748.561310,-514.000000:270.000000:-113.000000,2774.400000,92.480000,12,36,
astar,-1382.687114:274.200000:586.979251,-693.000000:270.000000:752.000000,1288.500000,42.950000,6,21,
dijkstra,-198.563663:274.200000:436.932446,142.000000:270.000000:171.000000,1945.200000,64.840000,14,22,
dijkstra,142.404734:274.200000:174.751270,-1158.000000:270.000000:366.000000,2061.687691,68.722923,39,6,
bfs,-517.886482:274.200000:-113.115638,1179.000000:270.000000:-133.000000,2973.087691,99.102923,12,19,
astar,-694.402559:274.200000:755.549974,1168.000000:270.000000:-733.000000,3414.087691,113.802923,16,28,
bfs,1179.667645:274.200000:-129.125495,1414.000000:270.000000:783.000000,1628.100000,54.270000,15,12,
dijkstra,-1154.437460:274.200000:364.317666,619.000000:270.000000:-738.000000,2778.000000,92.600000,8,29,
astar,1165.228898:274.200000:-730.539642,-323.000000:270.000000:-474.000000,2128.200000,70.940000,29,0,
dijkstra,615.660841:274.200000:-735.888274,626.000000:270.000000:-76.000000,1006.800000,33.560000,7,8,
astar,-319.957753:274.200000:-471.859761,-876.000000:270.000000:-372.000000,1213.500000,40.450000,28,2,
